Questionnaire,Year Reported to CDP,Account Number,Organization,Country,CDP Region,Parent Section,Section,Question Number,Question Name,Column Number,Column Name,Response Answer,Comments,File Name,Last update,hazard
Cities 2020,2020,2185,Bristol City Council,United Kingdom of Great Britain and Northern Ireland,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > River flood,NA,NA,09/07/2020 09:45:36 AM, River flood
Cities 2020,2020,848474,Richmond Council,United Kingdom of Great Britain and Northern Ireland,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,55419,City of Miramar,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Tropical storm,NA,NA,09/07/2020 09:45:36 AM, Tropical storm
Cities 2020,2020,831152,Municipio de San Pedro de Urabá,Colombia,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,42384,Göteborgs Stad,Sweden,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,63562,"City of South Bend, IN",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,54687,Prefeitura Municipal de São José dos Campos,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,"No início de 2018, a Prefeitura de São José dos Campos contratou por meio de licitação pública, uma empresa de consultoria para elaborar o inventário de gases de efeito estufa, a análise de riscos e vulnerabilidades climáticas, o plano de ação de mitigação e adaptação às mudanças climáticas. Ao final do projeto, estimado em 18 meses, esses estudos deverão subsidiar a elaboração da Política Municipal de Mitigação e Adaptação às Mudanças Climáticas. Dessa forma, espera-se que até 2020 o município já tenha mapeado seus perigos climáticos e suas vulnerabilidades.",NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,44210,Yeosu Metropolitan Government,Republic of Korea,East Asia,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,3203,City of Chicago,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,50392,Prefeitura de Vitória,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,73666,Cuyahoga County,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Tornado,NA,NA,09/07/2020 09:45:36 AM, Tornado
Cities 2020,2020,59642,"City of Dublin, CA",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Biological hazards > Air-borne disease,NA,NA,09/07/2020 09:45:36 AM, Air-borne disease
Cities 2020,2020,31182,City of San Francisco,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,73750,Tarakan City,Indonesia,Southeast Asia and Oceania,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,NA,NA,NA,09/07/2020 09:45:36 AM,NA
Cities 2020,2020,841540,South Lakeland District Council,United Kingdom of Great Britain and Northern Ireland,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,73680,Carcarana,Argentina,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Fog,NA,NA,09/07/2020 09:45:36 AM, Fog
Cities 2020,2020,54687,Prefeitura Municipal de São José dos Campos,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Mass movement > Landslide,"No início de 2018, a Prefeitura de São José dos Campos contratou por meio de licitação pública, uma empresa de consultoria para elaborar o inventário de gases de efeito estufa, a análise de riscos e vulnerabilidades climáticas, o plano de ação de mitigação e adaptação às mudanças climáticas. Ao final do projeto, estimado em 18 meses, esses estudos deverão subsidiar a elaboração da Política Municipal de Mitigação e Adaptação às Mudanças Climáticas. Dessa forma, espera-se que até 2020 o município já tenha mapeado seus perigos climáticos e suas vulnerabilidades.",NA,09/07/2020 09:45:36 AM, Landslide
Cities 2020,2020,55334,Município de Braga,Portugal,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,68296,Hobsons Bay City Council,Australia,Southeast Asia and Oceania,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,43905,City of San Antonio,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,20113,City of Vancouver,Canada,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,58310,City of Roanoke,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Severe wind,NA,NA,09/07/2020 09:45:36 AM, Severe wind
Cities 2020,2020,60400,Municipalidad de Temuco,Chile,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,50541,City of Greensboro,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Wild fire > Forest fire,NA,NA,09/07/2020 09:45:36 AM, Forest fire
Cities 2020,2020,42388,Intendencia de Montevideo,Uruguay,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Biological hazards > Vector-borne disease,NA,NA,09/07/2020 09:45:36 AM, Vector-borne disease
Cities 2020,2020,54625,Prefeitura de Londrina,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Biological hazards > Insect infestation,NA,NA,09/07/2020 09:45:36 AM, Insect infestation
Cities 2020,2020,55324,Município de Guimarães,Portugal,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Mass movement > Landslide,NA,NA,09/07/2020 09:45:36 AM, Landslide
Cities 2020,2020,50560,City of Oakland,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Wild fire > Land fire,NA,NA,09/07/2020 09:45:36 AM, Land fire
Cities 2020,2020,73706,City of Alameda,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Storm surge,NA,NA,09/07/2020 09:45:36 AM, Storm surge
Cities 2020,2020,841098,Municipalidad Distrital de Chimbote,Peru,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Severe wind,NA,NA,09/07/2020 09:45:36 AM, Severe wind
Cities 2020,2020,59537,"City of Denton, TX",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,54641,Prefeitura de Limeira,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Wild fire > Land fire,NA,NA,09/07/2020 09:45:36 AM, Land fire
Cities 2020,2020,31173,Comune di Milano,Italy,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,31108,City of Houston,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Storm surge,NA,NA,09/07/2020 09:45:36 AM, Storm surge
Cities 2020,2020,58668,"City of New Bedford, MA",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Heavy snow,NA,NA,09/07/2020 09:45:36 AM, Heavy snow
Cities 2020,2020,59167,Municipalidad de Providencia,Chile,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme cold temperature > Cold wave,NA,NA,09/07/2020 09:45:36 AM, Cold wave
Cities 2020,2020,59562,"City of Urbana, IL",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,54402,City of Lahti,Finland,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,839665,Ayuntamiento de Celaya,Mexico,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme cold temperature > Cold wave,NA,NA,09/07/2020 09:45:36 AM, Cold wave
Cities 2020,2020,59669,City of North Vancouver,Canada,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Mass movement > Landslide,NA,NA,09/07/2020 09:45:36 AM, Landslide
Cities 2020,2020,55324,Município de Guimarães,Portugal,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,51079,Guatemala City,Guatemala,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Wild fire > Forest fire,NA,NA,09/07/2020 09:45:36 AM, Forest fire
Cities 2020,2020,74594,City of Boynton Beach,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Cyclone (Hurricane / Typhoon),NA,NA,09/07/2020 09:45:36 AM, Cyclone (Hurricane / Typhoon)
Cities 2020,2020,50665,Município de Ovar,Portugal,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,59572,"District of Saanich, BC",Canada,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Extreme hot days,NA,NA,09/07/2020 09:45:36 AM, Extreme hot days
Cities 2020,2020,74423,"City of Key West, FL",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Chemical change > Salt water intrusion,NA,NA,09/07/2020 09:45:36 AM, Salt water intrusion
Cities 2020,2020,54088,City of Peterborough,Canada,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,54681,Prefeitura Municipal de Araçatuba,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,NA,NA,NA,09/07/2020 09:45:36 AM,NA
Cities 2020,2020,55419,City of Miramar,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Biological hazards > Vector-borne disease,NA,NA,09/07/2020 09:45:36 AM, Vector-borne disease
Cities 2020,2020,834373,"Town of York, ME",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Coastal flood,NA,NA,09/07/2020 09:45:36 AM, Coastal flood
Cities 2020,2020,54098,City of Thunder Bay,Canada,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Severe wind,NA,NA,09/07/2020 09:45:36 AM, Severe wind
Cities 2020,2020,35867,Region Metropolitana de Guadalajara,Mexico,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
